epoch,loss,lr,perplexity,sparse_categorical_accuracy,val_loss,val_perplexity,val_sparse_categorical_accuracy
1,3.058656154219637,0.0010000000474974513,21.29891586303711,0.3533256956731382,2.864532550175985,17.540849685668945,0.37254634499549866
2,2.633903692678078,0.0010000000474974513,13.928035736083984,0.3942382885623224,2.6153405706087747,13.671870231628418,0.402680645386378
3,2.472498085080963,0.0010000000474974513,11.852018356323242,0.4267378913373062,2.4854563077290854,12.006596565246582,0.46135490387678146
4,2.361178749615384,0.0010000000474974513,10.60344123840332,0.4634677666364257,2.408696711063385,11.11945915222168,0.4955660899480184
5,2.2874038661878133,0.0010000000474974513,9.849333763122559,0.4861979592092258,2.353460947672526,10.521923065185547,0.5073810939987501
6,2.2318159452418693,0.0010000000474974513,9.316770553588867,0.5049260092764786,2.314866602420807,10.123571395874023,0.517081968486309
7,2.1905478275928303,0.0010000000474974513,8.940110206604004,0.5187185538798263,2.293818990389506,9.912721633911133,0.5269420941670736
8,2.163605439294245,0.0010000000474974513,8.702457427978516,0.5273662430723918,2.279414157072703,9.770955085754395,0.5274960150321325
9,2.141264244453194,0.0010000000474974513,8.510189056396484,0.5353971624497286,2.266640543937683,9.646939277648926,0.535802036523819
10,2.1260197727950576,0.0010000000474974513,8.381440162658691,0.5406009954275545,2.2535584370295205,9.521556854248047,0.5322878186901411
11,2.10393173424239,0.0010000000474974513,8.198339462280273,0.547407445833855,2.249095300833384,9.479155540466309,0.538306454817454
12,2.083655906706741,0.0010000000474974513,8.033785820007324,0.554966395048751,2.251341382662455,9.500471115112305,0.5362588241696358
13,2.066631072575284,0.0010000000474974513,7.898169994354248,0.5605528010535485,2.2482855916023254,9.47148323059082,0.5397100324432055
14,2.051718581583082,0.0010000000474974513,7.781261444091797,0.5665955359173804,2.239877720673879,9.392182350158691,0.5415975376963615
15,2.037862815807775,0.0010000000474974513,7.674190044403076,0.5709983159586326,2.237432340780894,9.369242668151855,0.5421015719572703
16,2.025331647125716,0.0010000000474974513,7.578624725341797,0.5740087554626858,2.2315176129341125,9.313989639282227,0.5446427340308825
17,2.0135619296241054,0.0010000000474974513,7.489948749542236,0.5783657689684445,2.2335843443870544,9.333260536193848,0.5465538501739502
18,2.0025514351952935,0.0010000000474974513,7.407931804656982,0.5815301519079307,2.230767627557119,9.307008743286133,0.5432741418480873
19,1.993527845009086,0.0010000000474974513,7.341387748718262,0.5853908473683387,2.230544110139211,9.304927825927734,0.5435034135977427
20,1.9830071569718037,0.0010000000474974513,7.264555931091309,0.5882029361331585,2.224494775136312,9.248807907104492,0.5500383302569389
21,1.9775179341896294,0.0010000000474974513,7.224788665771484,0.5905367744337652,2.2246073484420776,9.24985122680664,0.5474332869052887
22,1.967686751454147,0.0010000000474974513,7.154108047485352,0.5936119789929734,2.225674351056417,9.259725570678711,0.5475522875785828
23,1.9628685000016517,0.0010000000474974513,7.119720458984375,0.594513856258589,2.226452052593231,9.266929626464844,0.5516554340720177
24,1.952513838551708,0.0010000000474974513,7.0463786125183105,0.5992551513553894,2.2307613492012024,9.3069486618042,0.5447389955321947
25,1.9420893917378692,0.0005000000237487257,6.973306179046631,0.6015855633106428,2.220392882823944,9.210949897766113,0.5487826218207678
26,1.934896038979599,0.0005000000237487257,6.923324108123779,0.604127395398838,2.221461236476898,9.220795631408691,0.5453672756751379
27,1.9323614946345693,0.0005000000237487257,6.90579891204834,0.6055070210977928,2.2206037441889444,9.212890625,0.5492498974005381
28,1.9267555081967227,0.0005000000237487257,6.867193698883057,0.6071905327826431,2.2199512720108032,9.206881523132324,0.5478489398956299
29,1.924734465854684,0.0005000000237487257,6.853328704833984,0.6072999939476091,2.2197146813074746,9.204704284667969,0.5488561342159907
30,1.9233883828231968,0.0005000000237487257,6.844109535217285,0.6079041951710416,2.2232141892115274,9.236971855163574,0.5484982232252756
31,1.9190384764032267,0.0005000000237487257,6.814403533935547,0.6093331593828103,2.2175376216570535,9.184686660766602,0.5468907505273819
32,1.916423451040209,0.0005000000237487257,6.796606540679932,0.610264880755513,2.218582193056742,9.19428539276123,0.5475750441352526
33,1.915503505578975,0.0005000000237487257,6.7903571128845215,0.6099369353854779,2.2208459973335266,9.215123176574707,0.5460594470302264
34,1.910371432599333,0.0005000000237487257,6.7555975914001465,0.6132222008459347,2.218486726284027,9.193408966064453,0.5518374368548393
35,1.9088036682187897,0.0005000000237487257,6.7450151443481445,0.61319064295169,2.2241994738578796,9.246078491210938,0.5479626978437105
36,1.9028537691253977,0.0002500000118743628,6.705001354217529,0.6151234181885866,2.2221415837605796,9.227069854736328,0.5466203615069389
37,1.90095261814668,0.0002500000118743628,6.692266464233398,0.6142234685494727,2.222117225329081,9.226844787597656,0.544007437924544
38,1.8984634310928816,0.0002500000118743628,6.675629138946533,0.6165156806867147,2.22166379292806,9.222661972045898,0.5481928338607153
39,1.8976930994348429,0.0002500000118743628,6.6704888343811035,0.6157216890571043,2.224865436553955,9.252237319946289,0.5449813728531202
40,1.895397049864543,0.0002500000118743628,6.655190467834473,0.6169978582981935,2.221296489238739,9.219276428222656,0.5484439730644226
41,1.894651365034359,0.0002500000118743628,6.6502299308776855,0.6178215496318856,2.221511205037435,9.221254348754883,0.5494187946120898
42,1.8923785514438276,0.0002500000118743628,6.6351318359375,0.6177974871753418,2.2229355772336326,9.234400749206543,0.5460200707117716
43,1.8899410545211477,0.0002500000118743628,6.618978977203369,0.6188378118977105,2.2237031062444053,9.241490364074707,0.5479688222209612
