epoch,loss,lr,perplexity,sparse_categorical_accuracy,val_loss,val_perplexity,val_sparse_categorical_accuracy
0,3.052534818649292,0.001,19.32780647277832,0.35820478200912476,2.7727580070495605,11.239851951599121,0.37263381481170654
1,2.6170613765716553,0.001,8.818031311035156,0.3976403772830963,2.526477336883545,8.241381645202637,0.41634029150009155
2,2.4518802165985107,0.001,7.261179447174072,0.43096497654914856,2.390716791152954,6.920704364776611,0.45273062586784363
3,2.3363797664642334,0.001,6.350547790527344,0.4688761830329895,2.306258201599121,6.276443958282471,0.4872443377971649
4,2.244551420211792,0.001,5.701517105102539,0.5015210509300232,2.2462685108184814,5.845592498779297,0.5123205184936523
5,2.173687219619751,0.001,5.254421710968018,0.5262511372566223,2.2031211853027344,5.545101642608643,0.5263272523880005
6,2.1166279315948486,0.001,4.916871547698975,0.5465224981307983,2.172929286956787,5.330188751220703,0.5355744361877441
7,2.0675902366638184,0.001,4.644496440887451,0.5636643171310425,2.163043975830078,5.2566962242126465,0.5408507585525513
8,2.0289783477783203,0.001,4.438782215118408,0.5771011710166931,2.1487746238708496,5.167142868041992,0.5421833992004395
9,1.9945287704467773,0.001,4.265720844268799,0.5892457962036133,2.143880605697632,5.135517120361328,0.5404699444770813
10,1.9653003215789795,0.001,4.122501373291016,0.599024772644043,2.1339433193206787,5.065786838531494,0.5503154993057251
11,1.9396345615386963,0.001,4.001263618469238,0.6081576943397522,2.137097120285034,5.093557834625244,0.5443864464759827
12,1.9175548553466797,0.001,3.8997106552124023,0.6158772110939026,2.1330127716064453,5.053042888641357,0.5514305830001831
13,1.8987618684768677,0.001,3.815136194229126,0.6230179667472839,2.128610134124756,5.020444393157959,0.5506962537765503
14,1.8807471990585327,0.001,3.734368324279785,0.6279714107513428,2.122594118118286,4.988429069519043,0.5552382469177246
15,1.864709496498108,0.001,3.6653194427490234,0.6342573761940002,2.1216676235198975,4.967688083648682,0.553715169429779
16,1.849709153175354,0.001,3.600224018096924,0.6379152536392212,2.127690315246582,5.020145416259766,0.5507778525352478
17,1.8374395370483398,0.001,3.5494885444641113,0.6420913338661194,2.12282133102417,4.975968837738037,0.5533888339996338
18,1.825514316558838,0.001,3.4993555545806885,0.646398663520813,2.1219918727874756,4.9676833152771,0.5571420788764954
19,1.813637375831604,0.001,3.451153516769409,0.6504872441291809,2.1268465518951416,5.010888576507568,0.5544767379760742
20,1.7934536933898926,0.0005,3.371767044067383,0.6568506956100464,2.1208150386810303,4.953983306884766,0.5551838278770447
21,1.784888505935669,0.0005,3.3388049602508545,0.6594586372375488,2.125391960144043,4.99020528793335,0.5551838278770447
22,1.7793407440185547,0.0005,3.3160922527313232,0.6618074774742126,2.1240439414978027,4.98306131362915,0.5565437078475952
23,1.7740373611450195,0.0005,3.2943313121795654,0.6629112362861633,2.1256799697875977,4.992669582366943,0.557441234588623
24,1.7682218551635742,0.0005,3.273531198501587,0.6643750071525574,2.1271605491638184,4.997023105621338,0.5545310974121094
25,1.7577950954437256,0.00025,3.2331130504608154,0.6688506007194519,2.126682758331299,4.981874465942383,0.5549118518829346
26,1.75417959690094,0.00025,3.219470977783203,0.6693621277809143,2.1285574436187744,5.004401683807373,0.5528176426887512
27,1.7511603832244873,0.00025,3.2074790000915527,0.6713474988937378,2.1300206184387207,5.0056610107421875,0.5526816844940186
28,1.748105764389038,0.00025,3.1962409019470215,0.6722527146339417,2.1309597492218018,5.015905380249023,0.5522465109825134
29,1.743435263633728,0.000125,3.1794846057891846,0.6734877228736877,2.127122163772583,4.987239837646484,0.5554558038711548
30,1.741248607635498,0.000125,3.170435905456543,0.6746352314949036,2.129244089126587,5.0033488273620605,0.5530896186828613
31,1.7398422956466675,0.000125,3.165203094482422,0.6743727326393127,2.1308465003967285,5.0077691078186035,0.5538783669471741
32,1.738531231880188,0.000125,3.1614744663238525,0.674880862236023,2.1310503482818604,5.0092878341674805,0.553769588470459
